OUTID;Birth;SEXTYPENAME;REGNAME;AREANAME;TERNAME;REGTYPENAME;TerTypeName;ClassProfileNAME;ClassLangName;EONAME;EOTYPENAME;EORegName;EOAreaName;EOTerName;EOParent;UkrTest;UkrTestStatus;UkrBall100;UkrBall12;UkrBall;UkrAdaptScale;UkrPTName;UkrPTRegName;UkrPTAreaName;UkrPTTerName;histTest;HistLang;histTestStatus;histBall100;histBall12;histBall;histPTName;histPTRegName;histPTAreaName;histPTTerName;mathTest;mathLang;mathTestStatus;mathBall100;mathBall12;mathBall;mathPTName;mathPTRegName;mathPTAreaName;mathPTTerName;physTest;physLang;physTestStatus;physBall100;physBall12;physBall;physPTName;physPTRegName;physPTAreaName;physPTTerName;chemTest;chemLang;chemTestStatus;chemBall100;chemBall12;chemBall;chemPTName;chemPTRegName;chemPTAreaName;chemPTTerName;bioTest;bioLang;bioTestStatus;bioBall100;bioBall12;bioBall;bioPTName;bioPTRegName;bioPTAreaName;bioPTTerName;geoTest;geoLang;geoTestStatus;geoBall100;geoBall12;geoBall;geoPTName;geoPTRegName;geoPTAreaName;geoPTTerName;engTest;engTestStatus;engBall100;engBall12;engDPALevel;engBall;engPTName;engPTRegName;engPTAreaName;engPTTerName;fraTest;fraTestStatus;fraBall100;fraBall12;fraDPALevel;fraBall;fraPTName;fraPTRegName;fraPTAreaName;fraPTTerName;deuTest;deuTestStatus;deuBall100;deuBall12;deuDPALevel;deuBall;deuPTName;deuPTRegName;deuPTAreaName;deuPTTerName;spaTest;spaTestStatus;spaBall100;spaBall12;spaDPALevel;spaBall;spaPTName;spaPTRegName;spaPTAreaName;spaPTTerName;year
07ad4c55-70ef-442d-bb7f-34c95c0e6ee4;2001.0;жіноча;Запорізька область;Василівський район;м.Василівка;Студент закладу вищої освіти;місто;Молодший спеціаліст;українська;"Відокремлений структурний підрозділ ""Василівський коледж Таврійського державного агротехнологічного університету""";заклад вищої освіти;Запорізька область;Василівський район;м.Василівка;Департамент освіти і науки Запорізької облдержадміністрації;Українська мова і література;Зараховано;100.0;4.0;23.0;0.0;"Комунальний заклад ""Василівська гімназія ""Сузір'я"" - загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області";Запорізька область;Василівський район;м.Василівка;Історія України;українська;Зараховано;110.0;7.0;31.0;"Державний навчальний заклад ""Василівський професійний ліцей""";Запорізька область;Василівський район;м.Василівка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
8626c448-3a7d-434f-b01a-c2530ccf3a4f;1985.0;жіноча;Донецька область;Донецька область;м.Торецьк;Учень (слухач) закладу професійної (професійно-технічної) освіти;місто;Кваліфікований робітник;українська;Торецький професійний ліцей;професійний ліцей відповідного профілю;Донецька область;м.Торецьк;м.Торецьк;Департамент освіти і науки Донецької обласної державної адміністрації;Українська мова і література;Не з’явився;;;;0.0;"Заклад загальної середньо освіти І-ІІІ ступенів №3 ""Спеціалізована школа з поглибленим вивченням англійської мови"" військово-цивільної адміністрації міста Торецьк Донецької області";Донецька область;м.Торецьк;м.Торецьк;;;;;;;;;;;Математика;українська;Не з’явився;;;;Костянтинівська загальноосвітня школа I-III ступенів № 15 Костянтинівської міської ради Донецької області;Донецька область;м.Костянтинівка;м.Костянтинівка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
9709b00b-144c-4487-b7bc-66c0b353b324;2001.0;жіноча;Тернопільська область;Тернопільська область;м.Тернопіль;Студент закладу вищої освіти;місто;Молодший спеціаліст;українська;"Приватний вищий навчальний заклад ""Медичний коледж""";заклад вищої освіти;Тернопільська область;м.Тернопіль;м.Тернопіль;Управління освіти і науки Тернопільської обласної державної адміністрації;Українська мова і література;Зараховано;166.0;10.0;68.0;0.0;Тернопільська загальноосвітня школа І-ІІІ ступенів № 27 ім. Віктора Гурняка Тернопільської міської ради Тернопільської області;Тернопільська область;м.Тернопіль;м.Тернопіль;Історія України;українська;Зараховано;127.0;8.0;37.0;Тернопільська загальноосвітня школа І-ІІІ ступенів № 24 Тернопільської міської ради Тернопільської області;Тернопільська область;м.Тернопіль;м.Тернопіль;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
5617254e-aee4-4fa6-81cc-f0159cc972bc;2000.0;чоловіча;Рівненська область;Рівненська область;м.Вараш;Учень (слухач) закладу професійної (професійно-технічної) освіти;місто;Кваліфікований робітник;українська;"Професійно-технічне училище відокремленого підрозділу ""Рівненська атомна електростанція"" державного підприємства ""Національна атомна енергогенеруюча компанія ""Енергоатом""";професійно-технічне училище відповідного профілю;Рівненська область;м.Вараш;м.Вараш;Управління освіти і науки Рівненської обласної державної адміністрації;Українська мова і література;Зараховано;127.0;6.0;38.0;0.0;Вараська загальноосвітня школа І-ІІІ ступенів №1 Вараської міської ради Рівненської області;Рівненська область;м.Вараш;м.Вараш;;;;;;;;;;;Математика;українська;Не подолав поріг;0.0;4.0;10.0;Вараська загальноосвітня школа І-ІІІ ступенів №4 Вараської міської ради Рівненської області;Рівненська область;м.Вараш;м.Вараш;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Географія;українська;Зараховано;110.0;;31.0;Володимирецький районний колегіум Володимирецького району Рівненської області;Рівненська область;Володимирецький район;смт Володимирець;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
2e8b9de3-8806-415a-bad1-be822ef8a042;2001.0;жіноча;Кіровоградська область;Добровеличківський район;м.Помічна;Випускник закладу загальної середньої освіти 2019 року;місто;Історичний;українська;Помічнянська загальноосвітня школа І-ІІІ ступенів № 1 імені Героя України Березняка Євгена Степановича Помічнянської міської ради Кіровоградської області;середня загальноосвітня школа;Кіровоградська область;Добровеличківський район;м.Помічна;Відділ освіти виконавчого комітету Помічнянської міської ради;Українська мова і література;Зараховано;171.0;9.0;72.0;0.0;Новоукраїнська загальноосвітня школа І-ІІІ ступенів № 6 Новоукраїнської міської ради Кіровоградської області;Кіровоградська область;Новоукраїнський район;м.Новоукраїнка;Історія України;українська;Зараховано;169.0;10.0;59.0;"Філія ""Загальноосвітня школа №3"" Новоукраїнської загальноосвітньої школи І-ІІІ ступенів № 6 Новоукраїнської міської ради Кіровоградської області";Кіровоградська область;Новоукраїнський район;м.Новоукраїнка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Географія;українська;Зараховано;140.0;7.0;45.0;Гімназія № 9 Кіровоградської міської ради Кіровоградської області;Кіровоградська область;м.Кропивницький. Кіровський район міста;Кіровський район міста;Англійська мова;Зараховано;116.0;;;27.0;"Комунальний заклад ""Навчально-виховне об'єднання №25 ""Загальноосвітня школа І-ІІІ ступенів , природничо-математичний ліцей, центр позашкільного виховання ""Ліра"""" Кіровоградської міської ради Кіровоградської області";Кіровоградська область;м.Кропивницький. Кіровський район міста;Кіровський район міста;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
68a81d38-42e6-40fd-a145-9fb6ed2565ea;2001.0;чоловіча;Закарпатська область;Свалявський район;м.Свалява;Учень (слухач) закладу професійної (професійно-технічної) освіти;місто;Кваліфікований робітник;українська;Свалявський професійний будівельний ліцей;професійний ліцей відповідного профілю;Закарпатська область;Свалявський район;м.Свалява;Департамент освіти і науки Закарпатської обласної державної адміністрації;Українська мова і література;Не подолав поріг;0.0;2.0;6.0;0.0;Свалявська загальноосвітня школа І-ІІІ ступенів №1 Свалявської районної ради Закарпатської області;Закарпатська область;Свалявський район;м.Свалява;Історія України;українська;Не подолав поріг;0.0;4.0;12.0;"Мукачівський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" № 10 Мукачівської міської ради Закарпатської області";Закарпатська область;м.Мукачево;м.Мукачево;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
d29508d2-7fc3-4462-b5e8-e82e7ac3d3b5;1999.0;чоловіча;м.Київ;м.Київ;Солом'янський район міста;Учень (слухач) закладу професійної (професійно-технічної) освіти;місто;Кваліфікований робітник;українська;Київське вище професійне училище залізничного транспорту ім.В.C.Кудряшова;вище професійне училище;м.Київ;м.Київ. Солом'янський район міста;Солом'янський район міста;Департамент освіти і науки виконавчого органу Київської міської ради (Київської міської державної адміністрації);Українська мова і література;Не подолав поріг;0.0;2.0;17.0;0.0;Спеціалізована школа №7 імені М.Т.Рильського м.Києва;м.Київ;м.Київ. Солом'янський район міста;Солом'янський район міста;Історія України;українська;Не подолав поріг;0.0;6.0;24.0;Спеціалізована школа №187 з поглибленим вивченням української та англійської мов м. Києва;м.Київ;м.Київ. Солом'янський район міста;Солом'янський район міста;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
eb149a7d-984e-4295-807c-12538b83b2d5;2002.0;жіноча;Донецька область;Волноваський район;смт Володимирівка;Випускник закладу загальної середньої освіти 2019 року;місто;Інформаційно-технологічний;російська;Володимирівська загальноосвітня школа I-III ступенів №1 Волноваської районної ради Донецької області;середня загальноосвітня школа;Донецька область;Волноваський район;смт Володимирівка;Управління освіти, сім'ї, молоді та спорту Волноваської районної державної адміністрації Донецької області;Українська мова і література;Зараховано;157.0;8.0;60.0;0.0;Волноваська загальноосвітня школа I-III ступенів №1 Волноваської районної ради Донецької області;Донецька область;Волноваський район;м.Волноваха;Історія України;російська;Зараховано;124.0;;36.0;Волноваська загальноосвітня школа І-ІІІ ступенів №5 Волноваської районної ради Донецької області;Донецька область;Волноваський район;м.Волноваха;Математика;російська;Зараховано;159.0;8.0;34.0;"Комунальний заклад ""Маріупольський міський навчально-виховний комплекс ""Гімназія-школа"" №27 Маріупольської міської ради Донецької області""";Донецька область;м.Маріуполь. Центральний район міста;Центральний район міста;;;;;;;;;;;;;;;;;;;;;Біологія;російська;Зараховано;144.0;7.0;40.0;"Комунальний заклад ""Маріупольська загальноосвітня школа І-ІІІ ступенів №25 Маріупольської міської ради Донецької області""";Донецька область;м.Маріуполь. Центральний район міста;Центральний район міста;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
da969cfc-c91c-4a52-885f-21117e6e07f0;2002.0;чоловіча;м.Київ;м.Київ;Дарницький район міста;Студент закладу вищої освіти;місто;Молодший спеціаліст;українська;Київський коледж комп'ютерних технологій та економіки Національного авіаційного університету;заклад вищої освіти;м.Київ;м.Київ. Дарницький район міста;Дарницький район міста;Міністерство освіти і науки України;Українська мова і література;Зараховано;100.0;4.0;23.0;0.0;Середня загальносвітня школа І-ІІІ ступенів № 62;м.Київ;м.Київ. Дарницький район міста;Дарницький район міста;;;;;;;;;;;Математика;українська;Зараховано;110.0;5.0;14.0;Середня загальносвітня школа І-ІІІ ступенів № 62;м.Київ;м.Київ. Дарницький район міста;Дарницький район міста;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
46a12d3d-00d5-4d22-aea1-c2a2adf3d1d4;2002.0;жіноча;Хмельницька область;Дунаєвецький район;с.Балин;Випускник закладу загальної середньої освіти 2019 року;село;Української філології;українська;Балинський ліцей Смотрицької селищної ради Дунаєвецького району Хмельницької області;ліцей;Хмельницька область;Дунаєвецький район;с.Балин;Відділ освіти, охорони здоров’я, культури, молоді, спорту та соціального захисту Cмотрицької селищної територіальної громади Дунаєвецького району Хмельницької області;Українська мова і література;Зараховано;189.0;11.0;90.0;0.0;Дунаєвецька загальноосвітня школа I-III ступенів №3 Дунаєвецької міської ради Хмельницької області;Хмельницька область;Дунаєвецький район;м.Дунаївці;Історія України;українська;Зараховано;155.0;8.0;49.0;Дунаєвецька загальноосвітня школа I-III ступенів №3 Дунаєвецької міської ради Хмельницької області;Хмельницька область;Дунаєвецький район;м.Дунаївці;Математика;українська;Зараховано;137.0;6.0;24.0;Кам'янець-Подільська спеціалізована загальноосвітня школа I-III ступенів №5 з поглибленим вивченням інформатики Хмельницької області;Хмельницька область;м.Кам'янець-Подільський;м.Кам'янець-Подільський;;;;;;;;;;;Хімія;українська;Зараховано;128.0;;30.0;Хмельницький університет управління та права. Факультет управління та економіки;Хмельницька область;м.Хмельницький;м.Хмельницький;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2019
